Patient Table,,,,,,,,,
CSN (PK),ScheduleID (FK),DocID (FK),Gender,D.O.B.,First Name,Last Name,Middle Initial,SSN,Address
634524617,01/02/20/1630,1680,F,1/28/1971,Terrijo,Roofe,E,458820910,"3018 East Ave, Central Square (NY), 13036"
551480195,05/02/2020/0945,2283,F,10/12/1952,Heddi,Mates,Q,870864681,"139 Merchant Place, Cobleskill (NY), 12043"
125162191,06/08/2020/1900,1883,F,2/22/1952,Kordula,Barneveld,,154938438,"4 Meadow Valley Drive, Abington, PA 19001"
784477866,03/09/2020/1315,7260,M,10/13/1970,Gibb,Malins,,568565914,"51744 Harper Alley, Abington, PA 19001"
911722005,10/02/2020/1100,437,F,1/13/1948,Lyndy,Betjeman,,756865130,"67371 Trailsway Road, Glenside, PA 1942"
101831318,11/11/2020/1015,6267,M,6/21/1982,Claudianus,Shearmer,,404875144,"58025 Elka Circle, Glenside, PA 1942"
222291981,12/26/2020/1630,9957,M,12/26/2007,Demetre,Jaquemar,,560492805,"403 Ilene Street, Glenside, PA 1942"
166547831,09/05/2020/1730,4918,M,1/11/2001,Consalve,Besant,,489661067,"450 Utah Court, Philadephia, PA 19003"
691751541,07/08/2020/1900,9935,M,9/14/1933,Isac,Iddison,,397872452,"37 Commercial Court, Philadephia, PA 19003"
135144821,04/25/2020/1315,3529,F,3/5/1979,Florence,Pirkis,,542273540,"38558 Hermina Center, Philadephia, PA 19003"
157247252,08/08/2020/0945,1872,F,5/11/2003,Korie,Saffin,,136099176,"71242 Scott Alley, Philadephia, PA 19003"
122124102,10/15/2020/1630,9161,M,5/24/2009,Griz,Griz,,296340807,"9 Hoker Junction, Willow Grove, MI, 00033"
422092062,09/08/2020/1515,7285,M,9/16/2004,Gardiner,Coult,,416665869,"2625 Dwight Way, Willow Grove, MI, 00033"
122219222,07/10/2020/1100,6027,F,10/25/2007,Janna,Mathwen,,388626499,"53 Mallard Park, Willow Grove, MI, 00033"
129235711,07/16/2020/1515,2024,F,9/13/2004,Mira,Hunnicutt,,336223372,"6 Warbler Junction, Hill, TN, 12342"
132151147,06/03/2020/1800,1872,F,12/20/1954,Dorothee,MacTimpany,,493778857,"90 Dryden Park, Hill, TN, 12342"
206852071,09/18/2020/1900,6027,M,7/31/1976,Franzen,Applewhite,,211982826,"2520 Melrose Pass, Hill, TN, 12342"
571006413,12/12/2020/1730,9161,F,10/23/1931,Britte,Vlasyuk,,870159900,"6015 Pond Center, Year, FL, 35985"
182051631,01/15/2020/1900,9935,M,8/9/1953,Dorie,Gadsdon,,726034031,"1200 Tennessee Place, Year, FL, 35985"
211285418,03/12/2020/1630,6267,F,9/5/1976,Janot,Heimann,,290126081,"90 Homewood Court, Year, FL, 35985"
174164005,10/5/2020/1115,5910,M,12/15/1928,Rex,Grant,,595356460,"2473 Hackworth Road, Adamsville AL 35005"
846948465,9/14/2020/1930,4687,M,3/15/1934,Barry,Delgado,T,668499336,"630 Coonial Promenade Pkwy, Alabaster AL 35007"
238959089,11/4/2020/1430,6997,F,8/11/1951,Eva,Vasquez,S,720832137,"2643 Hwy 280 West, Alexander City AL 35010"
796386633,10/16/2020/2000,5839,F,7/8/1955,Brenda,Beck,W,926064798,"540 West Bypass, Andalusia AL 36420"
703748522,7/5/2020/1750,9233,M,8/28/1957,Terry,Reid,,415151179,"5560 Mcclellan Blvd, Anniston AL 36206"
479273692,12/18/2020/1715,9748,M,11/29/1959,Charles,Baldwin,,852773921,"1450 No Brindlee Mtn Pkwy, Arab AL 35016"
866176086,3/9/2020/1220,7662,M,5/24/1973,Earnest,Day,B,268583582,"1011 US Hwy 72 East, Athens AL 35611"
563867589,8/21/2020/1845,2660,M,4/16/1976,Nicholas,Fox,G,276972965,"973 Gilbert Ferry Road Se, Attalla AL 35954"
346291764,6/29/2020/0835,2427,F,5/4/1981,Joanne,Fields,,700719268,"1717 South College Street, Auburn AL 36830"
520207903,7/12/2020/1740,6193,M,11/27/1986,Sean,Harrison,A,845172811,"701 Mcmeans Ave, Bay Minette AL 36507"
168209409,7/26/2020/2135,7195,F,8/21/1991,Jean,Moore,,896766090,"625 School Street, Putnam CT 6260"
575605061,6/4/2020/2130,9112,F,7/19/1992,Jaime,Dawson,H,232130058,"80 Town Line Rd, Rocky Hill CT 6067"
754155495,4/7/2020/1400,8732,M,4/26/1994,Jacob,Stevenson,,807111637,"465 Bridgeport Avenue, Shelton CT 6484"
908695628,6/19/2020/0800,9008,M,6/8/1995,Dean,Garrett,,793427592,"235 Queen St, Southington CT 6489"
984921418,10/3/2020/1245,8371,M,2/26/2001,Roberto,Sparks,,827946531,"150 Barnum Avenue Cutoff, Stratford CT 6614"
760080935,8/11/2020/0315,8877,F,12/20/2001,Rita,Becker,R,183415743,"970 Torringford Street, Torrington CT 6790"
141461508,10/4/2020/2030,5408,M,4/11/2003,Alonzo,Black,,735882484,"844 No Colony Road, Wallingford CT 6492"
912184750,4/13/2020/1500,6213,F,9/6/2004,Camille,Holland,E,615196886,"910 Wolcott St, Waterbury CT 6705"
389609203,11/1/2020/2100,9229,F,1/26/2007,Lorene,Matthews,,892344449,"155 Waterford Parkway No, Waterford CT 6385"
485277373,1/16/2020/1700,1862,F,12/15/2010,Christy,Page,,229291314,"515 Sawmill Road, West Haven CT 6516"
